bird_id,model,balanced_accuracy,roc_auc,average_precision,precision,recall,f1,brier_score
L178330,logistic,0.542913,0.662172,0.332218,0.477064,0.109015,0.177474,0.187603
L178330,random_forest,0.516448,0.512361,0.262891,0.167269,0.97065,0.285362,0.357636
L178330,pytorch_mlp,0.526092,0.55602,0.275265,0.173306,0.702306,0.278008,0.309893
L178457,logistic,0.555939,0.599394,0.33693,0.531915,0.140449,0.222222,0.17349
L178457,random_forest,0.644725,0.758325,0.462326,0.260417,0.842697,0.397878,0.247539
L178457,pytorch_mlp,0.633117,0.684707,0.330057,0.330855,0.5,0.39821,0.201575
L178463,logistic,0.619907,0.641759,0.249408,0.224886,0.803489,0.351415,0.267957
L178463,random_forest,0.563027,0.601655,0.24522,0.195012,0.788739,0.312708,0.267051
L178463,pytorch_mlp,0.549495,0.553867,0.225657,0.223373,0.33862,0.26918,0.197586
L922149,logistic,0.5198,0.589705,0.277806,0.34433,0.07822,0.127481,0.179188
L922149,random_forest,0.568995,0.586843,0.270811,0.233326,0.932319,0.373242,0.3189
L922149,pytorch_mlp,0.59096,0.612546,0.293518,0.258103,0.714286,0.379188,0.299457
